id,composition_id,o.sxx,o.syy,o.szz,o.sxy,o.syz,o.szx
1387943,Al1 O4 P1,33.3273,33.3273,34.04508,0.0,0.0,0.0
1388032,Al5 Ce1 Pt3,3.28681,3.06208,5.05143,0.0,0.0,0.0
1388151,Al1 F6 Li1 Sr1,75.73988,70.75446,69.5291,0.0,0.0,1.3249
1388470,Al1 O4 P1,22.94509,21.5555,18.98159,-0.6429,-0.21895,-2.891
1388896,Al1 Be1 H1 O5 Si1,56.98895,55.57249,56.74528,0.0,0.0,-0.2277
1388959,Al1 K1 O12 P4,38.62449,39.63908,39.52353,0.0,0.0,1.15575
1388988,Al1 O4 P1,60.68567,59.37124,59.56747,0.65281,1.30168,-0.2028
1389042,Al1 Cs1 Cu1 F6,71.26952,77.80281,73.05626,0.0,0.0,0.0
1389526,Al2 F2 O4 Si1,77.45529,78.10358,75.86689,0.0,0.0,0.0
1389561,Al2 N2 O3 Si1 Sr1,42.58319,47.42764,40.74984,0.0,0.0,0.0
1389563,Al1 F6 Li1 Sr1,87.05587,79.76079,78.62394,0.0,0.0,-2.7982
1389594,Al1 B1 H3 Na1 O10 P2,41.67373,48.39399,48.53837,0.0,0.0,0.41548
1389610,Al2 Ba3 N4,19.6615,20.65499,17.25989,0.0,0.0,0.0
1389674,Al2 F2 Ge1 O4,76.61528,74.17733,73.51304,0.0,0.0,0.0
1389706,Al1 Ba3 H1 O4,26.32665,28.40151,26.82495,0.0,0.0,0.0
1390861,Al2 C4 Cl7 O4 Rh1,9.67598,9.35146,7.92634,-0.57291,0.12432,0.19891
1391394,Al1 B1 Ni2 O5,59.27583,63.90571,50.12006,0.0,0.0,0.0
1391803,Al3 Dy1 Zn5,8.47833,8.47833,8.84421,0.0,0.0,0.0
1391914,Al2 Ca1 H4 O10 Si2,54.61444,54.95212,53.28261,0.0,0.0,0.0
1391932,Al24 Er4 Pt9,2.89567,2.91465,2.88164,-0.05374,0.13574,-0.12102
1392077,Al17 Er2,1.9362,1.86716,-1.28467,0.0,0.0,0.0
1392098,Al17 Tb2,-0.25349,-0.22613,-1.6216,0.0,0.0,0.0
1392235,Al5 Na17 O16,30.72649,32.92376,30.67562,0.0,0.0,0.519
1392247,Al2 F1 K4 Nb11 O20,46.54834,46.54834,46.36077,0.0,0.0,0.0
1392457,Al12 Ce3 Ru4,-0.28241,-0.22316,-1.02971,0.0,0.0,0.0
1393024,Al7 Cu16 H9 Zr6,26.58515,26.58515,26.58515,0.0,0.0,0.0
1393560,Al2 Co1 H10 Zr6,19.2699,19.2679,16.37247,-0.00173,0.0,0.0
1393575,Al2 H10 Ni1 Zr6,18.77843,18.76549,20.55024,-0.01121,0.0,0.0
1393611,Al2 Ca1 H4 O10 Si2,57.14842,64.69786,61.66729,0.0,0.0,0.0
1393940,Al12 Ru4 U3,1.89874,1.99965,0.00841,-0.01423,0.0,0.0
1394084,Al2 Ca1 H4 O10 Si2,41.7847,39.84541,45.99671,0.0,0.0,0.0
1444895,Al4 Ba1 O12 Sb2,55.30184,55.30184,55.32291,-2e-05,0.0,0.0
1449571,Al3 Fe14 Y2,18.43332,18.2624,15.98596,0.0,0.0,0.0
1452687,Al5 Dy2 Fe12,12.75116,12.84227,12.42546,0.0,0.0,0.0
1455660,Al3 Dy2 Fe14,16.93637,17.06977,13.70274,-0.20191,0.0,0.0
1455736,Al2 Fe15 Tm2,17.23742,17.24934,24.78946,0.0,0.0,0.0
1455933,Al17 Dy2,-0.82488,-0.80779,-0.76808,0.0,0.0,0.0
1461343,Al2 Co15 Y2,-40.80076,-40.65878,-44.89382,0.0,0.0,0.0
1463947,Al3 Co14 Y2,-25.85765,-25.80101,-24.45852,0.0,0.0,0.0
1464838,Al3 Co14 Ho2,-24.38456,-23.74047,-24.49254,0.0,0.0,0.0
1464861,Al2 Fe15 Ho2,15.03974,14.99691,22.92678,0.0,0.0,0.0
